applicant_id,age,gender,race,education,hired
1,56,Male,Asian,High School,0
2,46,Female,Hispanic,Bachelor,1
3,32,Female,White,Bachelor,0
4,60,Male,White,High School,1
5,25,Female,Hispanic,Bachelor,0
6,38,Male,Asian,Bachelor,1
7,56,Male,White,High School,1
8,36,Female,White,Bachelor,1
9,40,Female,White,High School,1
10,28,Female,Asian,Bachelor,0
11,28,Female,Black,High School,1
12,41,Male,White,Master,1
13,53,Male,White,Bachelor,0
14,57,Male,Asian,High School,1
15,41,Male,White,Bachelor,1
16,20,Male,White,Bachelor,0
17,39,Male,White,Bachelor,1
18,19,Male,White,Bachelor,1
19,41,Male,White,Bachelor,1
20,61,Female,Hispanic,High School,1
21,47,Female,Asian,High School,1
22,55,Male,Hispanic,Bachelor,1
23,19,Female,Asian,Bachelor,0
24,38,Female,White,Bachelor,1
25,50,Male,Hispanic,Master,0
26,29,Female,White,Bachelor,1
27,39,Female,Black,Master,1
28,61,Female,Other,High School,0
29,42,Male,White,High School,1
30,66,Female,White,Master,1
31,44,Male,White,Bachelor,1
32,59,Female,White,Master,1
33,45,Female,White,High School,1
34,33,Female,Hispanic,Bachelor,1
35,32,Female,Other,Master,1
36,64,Female,White,High School,0
37,61,Male,White,Master,1
38,20,Male,White,Bachelor,1
39,54,Female,Asian,Bachelor,0
40,24,Male,White,Bachelor,1
41,38,Male,White,Master,0
42,26,Male,White,High School,1
43,56,Male,White,High School,1
44,35,Female,White,Master,1
45,21,Female,Hispanic,Master,1
46,42,Female,Black,High School,1
47,31,Female,Black,Bachelor,0
48,26,Female,White,Bachelor,1
49,43,Male,Hispanic,Bachelor,0
50,19,Female,Black,High School,1
51,37,Male,White,Bachelor,1
52,45,Female,White,High School,0
53,64,Female,White,Master,0
54,24,Male,Hispanic,Master,1
55,61,Female,White,Bachelor,1
56,25,Female,Other,High School,0
57,64,Female,White,High School,1
58,52,Male,Hispanic,Bachelor,1
59,31,Female,Black,Bachelor,0
60,34,Female,Hispanic,Bachelor,0
61,53,Male,White,Bachelor,1
62,57,Male,White,Bachelor,1
63,21,Female,Hispanic,High School,1
64,19,Male,White,High School,0
65,23,Female,White,High School,1
66,59,Female,White,High School,0
67,21,Female,White,Bachelor,1
68,46,Male,White,Master,1
69,35,Female,White,Master,1
70,43,Male,White,High School,1
71,61,Male,Hispanic,High School,0
72,51,Female,Black,High School,1
73,27,Male,Hispanic,Bachelor,1
74,53,Male,Other,Bachelor,0
75,31,Female,White,Bachelor,0
76,48,Male,White,High School,1
77,65,Male,White,High School,1
78,32,Female,White,High School,1
79,25,Female,Asian,High School,1
80,31,Female,White,Bachelor,1
81,40,Male,White,High School,1
82,57,Male,White,Bachelor,0
83,38,Male,Black,Bachelor,0
84,33,Male,Black,Master,1
85,62,Female,White,Master,1
86,35,Male,Other,Master,1
87,64,Male,White,High School,0
88,41,Female,White,Bachelor,1
89,43,Female,Asian,Master,1
90,42,Female,White,High School,1
91,62,Male,Asian,Bachelor,1
92,58,Male,Other,Master,1
93,46,Male,Hispanic,Bachelor,1
94,32,Male,Hispanic,High School,1
95,62,Female,White,High School,0
96,18,Female,Asian,Bachelor,1
97,42,Female,White,High School,1
98,24,Female,Hispanic,Bachelor,0
99,26,Male,Asian,Bachelor,1
100,41,Female,Other,High School,0
101,18,Male,Hispanic,Master,1
102,61,Female,White,Bachelor,1
103,25,Female,Other,High School,1
104,41,Male,Black,Master,1
105,28,Male,Asian,Master,0
106,34,Non-binary,Black,Bachelor,1
107,25,Male,White,Master,1
108,52,Male,White,Bachelor,1
109,52,Male,White,Master,1
110,50,Female,Hispanic,Bachelor,1
111,22,Female,White,Master,1
112,59,Female,White,PhD,1
113,56,Male,White,Bachelor,0
114,58,Female,Hispanic,High School,1
115,45,Male,White,Bachelor,1
116,24,Female,White,Bachelor,0
117,26,Female,White,High School,1
118,25,Male,White,PhD,1
119,29,Male,White,High School,0
120,51,Male,White,High School,1
121,50,Male,White,Master,0
122,65,Male,Asian,Bachelor,1
123,40,Female,Hispanic,High School,1
124,41,Female,White,Bachelor,0
125,54,Male,Other,Bachelor,1
126,52,Male,White,High School,1
127,61,Male,Black,PhD,1
128,57,Female,Black,Bachelor,0
129,39,Male,White,Bachelor,0
130,44,Female,White,Bachelor,1
131,52,Female,White,Bachelor,0
132,18,Female,White,High School,1
133,52,Female,Hispanic,High School,1
134,54,Male,White,Bachelor,1
135,64,Female,White,Master,1
136,31,Male,White,High School,1
137,20,Male,White,Bachelor,1
138,18,Female,White,Master,0
139,22,Female,White,High School,0
140,43,Female,Hispanic,High School,0
141,31,Male,White,High School,1
142,56,Male,White,Bachelor,0
143,44,Female,Black,High School,0
144,26,Male,White,Bachelor,1
145,32,Female,Black,Bachelor,0
146,32,Female,Black,Bachelor,0
147,43,Female,White,High School,0
148,59,Male,White,Bachelor,0
149,30,Male,White,Master,1
150,49,Male,White,PhD,1
151,56,Female,White,Master,1
152,66,Male,White,Bachelor,1
153,49,Female,White,Bachelor,0
154,21,Male,White,Bachelor,0
155,47,Non-binary,Black,High School,1
156,54,Male,Black,High School,0
157,40,Male,White,Bachelor,1
158,56,Male,White,High School,1
159,62,Female,Hispanic,High School,0
160,32,Female,White,PhD,1
161,60,Female,Hispanic,High School,0
162,46,Male,White,High School,1
163,53,Male,Black,High School,1
164,30,Female,White,Bachelor,0
165,49,Male,White,Bachelor,1
166,24,Male,White,Bachelor,1
167,39,Non-binary,White,Bachelor,1
168,45,Non-binary,White,Master,1
169,19,Female,White,Master,1
170,59,Female,Hispanic,PhD,1
171,62,Male,Asian,Master,0
172,23,Male,White,Bachelor,1
173,45,Female,White,High School,1
174,45,Female,White,High School,1
175,61,Male,Black,High School,0
176,61,Male,White,Bachelor,1
177,37,Male,Other,Master,0
178,47,Female,White,Bachelor,1
179,28,Female,White,High School,1
180,45,Female,Black,Bachelor,0
181,42,Male,Hispanic,Master,0
182,56,Non-binary,White,Bachelor,1
183,50,Female,White,Master,1
184,18,Male,Other,Master,1
185,44,Male,White,Master,1
186,30,Male,Asian,Master,0
187,58,Male,White,Master,1
188,20,Female,Hispanic,High School,1
189,56,Female,Black,High School,0
190,23,Female,White,Bachelor,0
191,25,Male,Hispanic,High School,1
192,44,Male,White,PhD,0
193,26,Female,White,High School,1
194,54,Male,White,Master,1
195,50,Female,White,Bachelor,0
196,59,Female,Black,Bachelor,0
197,61,Female,White,Master,1
198,41,Female,White,Bachelor,1
199,32,Male,White,Bachelor,1
200,49,Male,White,High School,1
201,49,Male,White,Bachelor,1
202,41,Female,Hispanic,High School,0
203,58,Male,Asian,Bachelor,1
204,66,Male,Hispanic,Bachelor,0
205,66,Female,White,Bachelor,0
206,29,Male,White,Master,1
207,56,Male,White,Bachelor,1
208,19,Male,White,Bachelor,1
209,20,Female,White,Master,1
210,66,Female,White,High School,0
211,54,Female,White,Bachelor,1
212,66,Male,Asian,Bachelor,1
213,34,Non-binary,White,Master,1
214,66,Female,White,Bachelor,1
215,19,Male,White,Bachelor,1
216,19,Female,White,Bachelor,0
217,45,Male,Hispanic,Bachelor,1
218,40,Female,White,High School,0
219,54,Female,White,Bachelor,1
220,49,Male,White,Bachelor,1
221,50,Non-binary,White,PhD,1
222,18,Female,White,Bachelor,0
223,36,Female,Hispanic,Bachelor,1
224,19,Male,Hispanic,High School,1
225,61,Male,Hispanic,Master,1
226,43,Male,White,Master,1
227,49,Female,Hispanic,High School,1
228,23,Male,White,High School,1
229,49,Female,White,Bachelor,0
230,21,Female,Black,High School,0
231,28,Male,White,High School,1
232,34,Female,White,High School,1
233,55,Male,Hispanic,High School,1
234,41,Non-binary,White,Bachelor,1
235,22,Female,Black,Bachelor,0
236,51,Male,White,Bachelor,1
237,23,Male,Hispanic,Bachelor,0
238,39,Male,Other,High School,1
239,28,Female,Hispanic,Bachelor,0
240,65,Female,White,High School,1
241,33,Female,White,Bachelor,0
242,50,Male,White,Bachelor,1
243,26,Male,White,High School,1
244,23,Male,White,High School,1
245,33,Female,White,High School,0
246,46,Female,White,Bachelor,0
247,20,Male,Other,Master,1
248,37,Male,White,High School,1
249,53,Female,White,Master,0
250,36,Female,White,High School,0
251,43,Female,Asian,Master,0
252,20,Female,Hispanic,Bachelor,1
253,36,Male,Hispanic,Bachelor,1
254,37,Male,Asian,Bachelor,0
255,49,Female,White,Bachelor,0
256,24,Female,White,Master,1
257,58,Male,White,Master,1
258,50,Female,Black,Bachelor,1
259,57,Female,White,High School,0
260,56,Female,White,High School,1
261,35,Female,Asian,Master,1
262,57,Male,Other,Bachelor,0
263,18,Female,Hispanic,Bachelor,1
264,28,Female,Hispanic,Bachelor,1
265,45,Female,Black,Master,0
266,42,Female,White,Bachelor,1
267,40,Female,White,Master,1
268,48,Male,Black,Master,1
269,47,Female,Hispanic,Bachelor,1
270,59,Female,White,High School,1
271,52,Female,Asian,Master,1
272,24,Female,White,Bachelor,1
273,33,Female,White,Master,1
274,43,Female,Black,High School,0
275,65,Female,White,High School,1
276,66,Male,White,Master,1
277,19,Male,White,Bachelor,1
278,18,Female,Hispanic,Bachelor,0
279,65,Female,White,Master,1
280,29,Male,Black,Bachelor,0
281,22,Male,White,Bachelor,1
282,54,Female,White,High School,0
283,49,Male,Other,Master,1
284,26,Male,White,Master,1
285,58,Male,Other,High School,0
286,52,Male,White,Master,1
287,36,Male,Other,Master,0
288,65,Male,White,Bachelor,1
289,33,Male,White,Bachelor,0
290,20,Female,White,Bachelor,1
291,37,Female,White,High School,1
292,41,Female,Black,Bachelor,1
293,50,Male,White,Master,1
294,41,Male,Black,Bachelor,0
295,28,Female,White,Bachelor,1
296,66,Male,White,High School,1
297,25,Female,Hispanic,High School,0
298,53,Female,White,Bachelor,1
299,55,Female,Black,High School,0
300,57,Male,Black,Bachelor,0
301,37,Male,Hispanic,Bachelor,1
302,52,Female,White,Master,1
303,65,Male,Black,High School,1
304,42,Female,Other,Bachelor,1
305,52,Female,Hispanic,Bachelor,0
306,42,Non-binary,White,High School,1
307,46,Male,Black,High School,0
308,35,Female,Hispanic,High School,1
309,63,Female,Black,Master,0
310,35,Male,White,High School,1
311,19,Male,White,Bachelor,1
312,52,Female,Hispanic,PhD,1
313,33,Male,White,Master,1
314,58,Male,Hispanic,High School,0
315,53,Male,White,Master,1
316,50,Female,White,High School,1
317,21,Female,White,Bachelor,1
318,50,Female,White,Master,1
319,31,Male,Other,Bachelor,0
320,38,Male,Asian,Bachelor,0
321,65,Female,Black,High School,1
322,37,Female,White,Bachelor,0
323,25,Male,Black,Bachelor,1
324,24,Female,Black,High School,0
325,20,Non-binary,White,PhD,1
326,34,Female,White,Master,1
327,50,Female,Black,Master,1
328,65,Female,Hispanic,Bachelor,1
329,29,Male,Other,Bachelor,0
330,39,Female,White,Master,1
331,39,Non-binary,Hispanic,Master,1
332,63,Male,White,Bachelor,0
333,47,Female,White,High School,1
334,55,Female,White,High School,0
335,55,Female,White,Bachelor,1
336,62,Female,White,Bachelor,1
337,25,Female,White,Master,1
338,44,Female,Hispanic,High School,0
339,44,Male,Hispanic,High School,0
340,51,Female,Black,Bachelor,1
341,38,Male,Asian,Bachelor,1
342,47,Male,White,High School,1
343,50,Male,White,Bachelor,1
344,45,Female,Black,Bachelor,0
345,64,Male,White,Bachelor,1
346,50,Female,White,Bachelor,1
347,22,Female,White,Bachelor,0
348,65,Female,White,Bachelor,1
349,36,Male,Hispanic,Master,1
350,21,Female,White,High School,1
351,52,Female,White,Master,1
352,66,Female,White,Bachelor,1
353,34,Male,Black,Master,1
354,61,Male,White,Master,1
355,45,Male,Hispanic,Bachelor,0
356,47,Male,White,Bachelor,1
357,46,Male,White,High School,0
358,63,Female,White,Master,1
359,23,Female,White,Bachelor,1
360,52,Male,White,Bachelor,1
361,58,Male,White,Bachelor,1
362,54,Male,Asian,Master,1
363,41,Male,White,High School,1
364,46,Male,Black,Bachelor,1
365,66,Male,White,Bachelor,0
366,63,Female,White,Bachelor,0
367,48,Non-binary,White,Bachelor,1
368,52,Male,Asian,Bachelor,0
369,50,Male,White,Bachelor,1
370,38,Female,White,Master,1
371,49,Male,White,High School,1
372,40,Male,White,Bachelor,1
373,50,Female,White,High School,1
374,20,Male,White,High School,0
375,35,Female,White,High School,1
376,42,Female,White,Bachelor,1
377,59,Male,Hispanic,Bachelor,0
378,48,Male,White,High School,1
379,20,Female,White,High School,1
380,57,Male,White,Master,1
381,63,Male,Black,High School,1
382,41,Female,White,Master,1
383,49,Female,White,High School,1
384,64,Male,White,Master,1
385,39,Female,Black,High School,0
386,40,Male,White,Master,1
387,19,Female,Black,Bachelor,1
388,44,Female,Hispanic,Bachelor,1
389,59,Female,Black,High School,0
390,19,Female,White,Bachelor,0
391,43,Non-binary,White,Bachelor,1
392,34,Male,White,High School,1
393,57,Female,White,High School,0
394,50,Male,White,Master,0
395,26,Male,Hispanic,High School,1
396,60,Male,White,Bachelor,1
397,65,Female,White,Bachelor,1
398,56,Non-binary,Black,Master,1
399,46,Male,Black,Master,1
400,59,Male,White,PhD,1
401,43,Female,Hispanic,High School,0
402,52,Male,White,Master,1
403,42,Male,Hispanic,High School,1
404,41,Female,Hispanic,Bachelor,1
405,30,Female,Hispanic,Bachelor,1
406,24,Non-binary,White,High School,0
407,53,Male,White,Master,1
408,62,Male,White,High School,1
409,37,Female,Black,Bachelor,1
410,18,Female,White,Master,1
411,25,Female,Hispanic,Master,1
412,63,Female,White,High School,0
413,33,Male,White,Bachelor,1
414,31,Female,White,Master,1
415,29,Male,White,High School,1
416,40,Male,White,Bachelor,1
417,32,Female,Hispanic,High School,0
418,45,Male,Black,Bachelor,1
419,51,Male,Hispanic,Master,1
420,19,Female,Hispanic,Bachelor,1
421,49,Male,Hispanic,Bachelor,1
422,40,Female,White,Bachelor,0
423,39,Male,Hispanic,Bachelor,0
424,42,Female,White,High School,0
425,39,Male,White,High School,1
426,39,Male,Black,Bachelor,1
427,66,Non-binary,White,Bachelor,1
428,59,Female,White,Bachelor,0
429,23,Female,White,Bachelor,1
430,32,Male,White,Bachelor,1
431,60,Female,Asian,High School,0
432,54,Female,White,Master,1
433,50,Female,White,Bachelor,1
434,25,Female,White,High School,0
435,61,Male,White,High School,1
436,61,Male,Asian,PhD,1
437,22,Female,White,High School,0
438,56,Male,White,Master,1
439,21,Male,Black,High School,0
440,23,Female,Asian,Master,1
441,62,Female,Black,Master,1
442,49,Female,Hispanic,Bachelor,1
443,47,Female,White,High School,0
444,64,Female,White,High School,1
445,52,Male,White,Bachelor,1
446,57,Male,Hispanic,Bachelor,1
447,33,Male,White,High School,1
448,30,Male,White,High School,1
449,59,Female,White,Bachelor,1
450,47,Male,White,Bachelor,1
451,36,Male,White,High School,1
452,34,Male,Other,High School,0
453,36,Male,White,PhD,1
454,45,Male,Black,Bachelor,1
455,43,Male,Hispanic,Master,1
456,54,Male,White,Bachelor,1
457,43,Male,White,High School,1
458,40,Male,White,High School,1
459,26,Female,White,Bachelor,0
460,29,Male,Black,Master,1
461,18,Male,White,Bachelor,1
462,18,Female,White,High School,1
463,64,Male,White,PhD,0
464,51,Female,Asian,Bachelor,0
465,49,Female,Hispanic,PhD,0
466,65,Male,Hispanic,PhD,1
467,42,Female,Hispanic,High School,0
468,57,Male,White,High School,1
469,62,Female,Hispanic,Bachelor,0
470,18,Male,White,Bachelor,1
471,33,Female,Black,Bachelor,1
472,56,Male,Black,PhD,1
473,22,Female,White,Bachelor,0
474,39,Female,Hispanic,High School,0
475,46,Male,Asian,High School,1
476,20,Male,White,Bachelor,1
477,29,Female,Hispanic,High School,0
478,43,Female,White,Master,0
479,33,Male,Black,High School,0
480,54,Female,White,Bachelor,1
481,39,Non-binary,White,High School,1
482,46,Female,Asian,Bachelor,0
483,31,Male,Hispanic,High School,1
484,45,Female,Hispanic,Master,1
485,22,Male,White,Bachelor,1
486,64,Non-binary,Asian,Master,0
487,66,Female,White,Bachelor,1
488,47,Male,Hispanic,High School,0
489,63,Female,White,Master,1
490,22,Male,White,High School,1
491,29,Non-binary,Black,Bachelor,1
492,33,Non-binary,White,High School,0
493,43,Female,White,Master,0
494,43,Male,White,Master,1
495,65,Female,White,Bachelor,0
496,38,Male,White,Bachelor,1
497,56,Male,White,Master,0
498,53,Female,White,High School,1
499,50,Male,White,Master,1
500,47,Male,Black,High School,0
501,54,Non-binary,White,PhD,1
502,40,Male,Asian,Bachelor,0
503,27,Male,Hispanic,Master,0
504,22,Female,White,Bachelor,1
505,53,Male,Hispanic,Bachelor,0
506,51,Female,Hispanic,Bachelor,1
507,48,Non-binary,Other,High School,1
508,27,Female,Black,Bachelor,1
509,36,Female,White,Bachelor,1
510,49,Male,Black,Master,0
511,18,Male,Black,Bachelor,0
512,22,Female,Black,High School,1
513,62,Female,White,High School,1
514,21,Female,Hispanic,Bachelor,0
515,33,Male,Other,High School,0
516,41,Male,White,High School,1
517,33,Male,White,Master,1
518,19,Female,White,Bachelor,0
519,66,Male,Hispanic,Bachelor,1
520,45,Female,Black,High School,0
521,49,Female,Black,Bachelor,0
522,44,Male,White,High School,0
523,37,Female,White,Bachelor,1
524,41,Male,White,High School,1
525,29,Female,White,Master,0
526,52,Female,Hispanic,Bachelor,1
527,50,Female,Other,Bachelor,0
528,50,Female,Asian,Bachelor,1
529,60,Male,Asian,Bachelor,1
530,54,Male,White,High School,1
531,29,Female,White,Master,1
532,20,Male,Hispanic,High School,1
533,18,Male,Asian,Master,1
534,50,Male,White,Master,1
535,57,Female,White,Bachelor,0
536,27,Male,White,Master,1
537,60,Female,Black,Bachelor,1
538,61,Non-binary,White,High School,1
539,46,Male,White,PhD,1
540,30,Male,White,Bachelor,1
541,29,Male,White,Bachelor,1
542,48,Female,Hispanic,Bachelor,0
543,63,Male,White,Bachelor,1
544,19,Male,Black,PhD,0
545,52,Male,Black,High School,1
546,40,Female,Hispanic,High School,0
547,34,Male,White,Bachelor,1
548,43,Female,Other,Bachelor,0
549,25,Female,Black,Bachelor,0
550,46,Male,Other,High School,1
551,43,Female,Asian,High School,1
552,27,Male,White,High School,1
553,43,Female,White,Master,1
554,51,Female,White,High School,1
555,58,Female,White,Master,1
556,24,Male,White,Master,1
557,21,Male,White,Master,1
558,62,Male,White,Master,1
559,28,Male,White,High School,0
560,46,Male,White,High School,1
561,53,Male,White,Bachelor,1
562,42,Male,White,High School,1
563,38,Male,White,Bachelor,1
564,53,Female,White,Bachelor,1
565,27,Female,White,Master,1
566,54,Male,Hispanic,High School,0
567,26,Male,White,Master,0
568,41,Male,White,High School,1
569,52,Non-binary,White,Bachelor,0
570,66,Male,Hispanic,Bachelor,0
571,52,Female,Asian,Master,0
572,65,Non-binary,Hispanic,Bachelor,1
573,53,Female,Black,PhD,1
574,35,Female,White,Master,1
575,66,Female,White,Master,1
576,56,Non-binary,White,High School,1
577,49,Female,Asian,Master,1
578,41,Female,Black,Master,1
579,40,Female,Hispanic,High School,1
580,49,Female,White,High School,0
581,54,Female,Hispanic,High School,1
582,29,Male,White,High School,1
583,66,Male,White,Bachelor,0
584,30,Male,White,PhD,1
585,40,Male,White,Bachelor,1
586,42,Male,White,Bachelor,0
587,52,Male,Hispanic,PhD,1
588,58,Female,White,High School,1
589,47,Male,White,Master,1
590,34,Female,White,Bachelor,1
591,66,Male,White,Bachelor,1
592,37,Male,Hispanic,Bachelor,1
593,65,Female,Hispanic,Bachelor,0
594,42,Female,Hispanic,High School,1
595,39,Male,Hispanic,Master,0
596,30,Female,Hispanic,High School,1
597,36,Female,White,Master,0
598,66,Male,Hispanic,Bachelor,1
599,53,Male,White,High School,1
600,29,Non-binary,White,Bachelor,1
601,58,Female,White,High School,1
602,36,Female,Hispanic,Master,1
603,29,Female,Hispanic,PhD,0
604,26,Male,White,Master,1
605,24,Male,Hispanic,High School,1
606,45,Male,Asian,Bachelor,1
607,31,Female,White,Bachelor,0
608,48,Female,White,Master,1
609,36,Female,Hispanic,High School,1
610,64,Male,White,Bachelor,1
611,33,Male,Black,Bachelor,0
612,22,Female,White,High School,0
613,52,Female,White,Bachelor,0
614,29,Female,Hispanic,Bachelor,0
615,42,Male,Black,Master,1
616,38,Female,Hispanic,Master,0
617,53,Male,Hispanic,Bachelor,0
618,40,Female,Hispanic,Bachelor,0
619,33,Male,Black,High School,1
620,56,Female,White,PhD,1
621,62,Male,White,PhD,1
622,59,Female,White,Master,1
623,56,Male,Hispanic,Master,0
624,31,Male,White,Bachelor,1
625,48,Male,White,Master,1
626,22,Male,White,Bachelor,1
627,52,Male,Hispanic,Bachelor,0
628,40,Female,Hispanic,Master,1
629,46,Male,White,High School,0
630,60,Female,Hispanic,High School,1
631,28,Female,White,Bachelor,0
632,35,Female,White,Bachelor,1
633,64,Male,Hispanic,Master,1
634,29,Male,White,High School,0
635,26,Female,Other,High School,1
636,27,Non-binary,White,High School,1
637,61,Male,White,High School,1
