age,gender,experience_years,education_level,previous_company,hired
28,Male,3,Bachelor,Company A,1
35,Female,7,Master,Company B,1
42,Male,12,PhD,Company C,1
31,Female,5,Bachelor,Company D,0
45,Male,15,Master,Company E,1
29,Female,2,Bachelor,Company F,0
38,Male,9,PhD,Company G,1
33,Female,6,Master,Company H,1
50,Male,20,PhD,Company I,1
27,Female,1,Bachelor,Company J,0
36,Male,8,Master,Company K,1
41,Female,11,PhD,Company L,1
30,Male,4,Bachelor,Company M,0
44,Female,14,Master,Company N,1
32,Male,5,Bachelor,Company O,1
39,Female,10,PhD,Company P,1
26,Male,2,Bachelor,Company Q,0
34,Female,7,Master,Company R,1
47,Male,18,PhD,Company S,1
29,Female,3,Bachelor,Company T,0
37,Male,9,Master,Company U,1
43,Female,13,PhD,Company V,1
31,Male,5,Bachelor,Company W,0
40,Female,12,Master,Company X,1
28,Male,3,Bachelor,Company Y,0
35,Female,7,Master,Company Z,1
42,Male,15,PhD,Company AA,1
33,Female,6,Bachelor,Company AB,0
46,Male,17,Master,Company AC,1
30,Female,4,Bachelor,Company AD,0
38,Male,10,PhD,Company AE,1
32,Female,5,Master,Company AF,1
45,Male,16,PhD,Company AG,1
29,Female,2,Bachelor,Company AH,0
36,Male,8,Master,Company AI,1
41,Female,11,PhD,Company AJ,1
27,Male,1,Bachelor,Company AK,0
34,Female,7,Master,Company AL,1
48,Male,19,PhD,Company AM,1
31,Female,4,Bachelor,Company AN,0
39,Male,9,Master,Company AO,1
44,Female,14,PhD,Company AP,1
28,Male,3,Bachelor,Company AQ,0
35,Female,7,Master,Company AR,1
42,Male,15,PhD,Company AS,1
33,Female,6,Bachelor,Company AT,0
40,Male,12,Master,Company AU,1
29,Female,2,Bachelor,Company AV,0
37,Male,9,PhD,Company AW,1
45,Female,16,Master,Company AX,1
32,Male,5,Bachelor,Company AY,0
38,Female,10,PhD,Company AZ,1
46,Male,18,Master,Company BA,1
30,Female,4,Bachelor,Company BB,0
34,Male,7,Master,Company BC,1
41,Female,11,PhD,Company BD,1
27,Male,1,Bachelor,Company BE,0
39,Female,9,Master,Company BF,1
44,Male,14,PhD,Company BG,1
31,Female,5,Bachelor,Company BH,0
36,Male,8,Master,Company BI,1
43,Female,13,PhD,Company BJ,1
29,Male,3,Bachelor,Company BK,0
35,Female,7,Master,Company BL,1
42,Male,15,PhD,Company BM,1
33,Female,6,Bachelor,Company BN,0
40,Female,12,Master,Company BO,1
47,Male,19,PhD,Company BP,1
28,Female,2,Bachelor,Company BQ,0
38,Male,10,Master,Company BR,1
45,Female,16,PhD,Company BS,1
32,Male,5,Bachelor,Company BT,0
37,Female,9,PhD,Company BU,1
44,Male,14,Master,Company BV,1
30,Female,4,Bachelor,Company BW,0
39,Male,9,Master,Company BX,1
41,Female,11,PhD,Company BY,1
27,Male,1,Bachelor,Company BZ,0
35,Female,7,Master,Company CA,1
46,Male,18,PhD,Company CB,1
33,Female,6,Bachelor,Company CC,0
40,Male,12,Master,Company CD,1
29,Female,2,Bachelor,Company CE,0
38,Male,10,PhD,Company CF,1
45,Female,16,Master,Company CG,1
32,Male,5,Bachelor,Company CH,0
36,Female,8,Master,Company CI,1
43,Male,13,PhD,Company CJ,1
31,Female,4,Bachelor,Company CK,0
39,Male,9,Master,Company CL,1
44,Female,14,PhD,Company CM,1
28,Male,3,Bachelor,Company CN,0
35,Female,7,Master,Company CO,1
42,Male,15,PhD,Company CP,1
33,Female,6,Bachelor,Company CQ,0
40,Male,12,Master,Company CR,1
47,Female,19,PhD,Company CS,1
30,Male,4,Bachelor,Company CT,0
38,Female,10,Master,Company CU,1
45,Male,16,PhD,Company CV,1
32,Female,5,Bachelor,Company CW,0
37,Male,9,PhD,Company CX,1
44,Female,14,Master,Company CY,1
29,Male,3,Bachelor,Company CZ,0
36,Female,8,Master,Company DA,1
43,Male,13,PhD,Company DB,1
31,Female,4,Bachelor,Company DC,0
39,Male,9,Master,Company DD,1
46,Female,18,PhD,Company DE,1
28,Male,2,Bachelor,Company DF,0
35,Female,7,Master,Company DG,1
42,Male,15,PhD,Company DH,1
33,Female,6,Bachelor,Company DI,0
40,Male,12,Master,Company DJ,1
45,Female,16,PhD,Company DK,1
30,Male,4,Bachelor,Company DL,0
38,Female,10,Master,Company DM,1
47,Male,19,PhD,Company DN,1
32,Female,5,Bachelor,Company DO,0
37,Male,9,PhD,Company DP,1
44,Female,14,Master,Company DQ,1
29,Male,3,Bachelor,Company DR,0
36,Female,8,Master,Company DS,1
43,Male,13,PhD,Company DT,1
31,Female,4,Bachelor,Company DU,0
39,Male,9,Master,Company DV,1
46,Female,18,PhD,Company DW,1
28,Male,2,Bachelor,Company DX,0
35,Female,7,Master,Company DY,1
42,Male,15,PhD,Company DZ,1