applicant_id,age,income,credit_score,debt_to_income,employment_years,home_ownership,loan_amount,loan_purpose,approved
1,28,45000,680,0.35,3,Renter,15000,Debt Consolidation,0
2,35,75000,720,0.25,7,Owner,25000,Home Improvement,1
3,42,95000,780,0.20,12,Owner,35000,Debt Consolidation,1
4,31,55000,690,0.40,5,Renter,12000,Medical,0
5,45,120000,810,0.15,15,Owner,50000,Home Improvement,1
6,29,48000,670,0.38,2,Renter,10000,Debt Consolidation,0
7,38,85000,750,0.22,9,Owner,30000,Education,1
8,33,65000,710,0.30,6,Renter,20000,Medical,1
9,50,150000,830,0.12,20,Owner,75000,Home Improvement,1
10,27,42000,660,0.42,1,Renter,8000,Debt Consolidation,0
11,36,78000,730,0.24,8,Owner,28000,Education,1
12,41,92000,770,0.21,11,Owner,32000,Debt Consolidation,1
13,30,52000,685,0.39,4,Renter,11000,Medical,0
14,44,115000,800,0.18,14,Owner,45000,Home Improvement,1
15,32,60000,700,0.32,5,Renter,18000,Education,1
16,39,88000,760,0.23,10,Owner,31000,Debt Consolidation,1
17,26,40000,650,0.45,1,Renter,7000,Medical,0
18,34,72000,725,0.26,7,Owner,26000,Education,1
19,47,130000,820,0.14,17,Owner,60000,Home Improvement,1
20,29,46000,675,0.37,3,Renter,9000,Debt Consolidation,0
21,37,82000,740,0.25,9,Owner,29000,Medical,1
22,43,105000,790,0.19,13,Owner,38000,Debt Consolidation,1
23,31,54000,695,0.38,5,Renter,13000,Education,0
24,40,98000,775,0.22,12,Owner,36000,Home Improvement,1
25,28,47000,678,0.36,3,Renter,9500,Debt Consolidation,0
26,35,76000,728,0.27,8,Owner,27000,Medical,1
27,42,94000,772,0.20,11,Owner,33000,Education,1
28,33,63000,705,0.31,6,Renter,19000,Debt Consolidation,1
29,45,125000,815,0.16,15,Owner,48000,Home Improvement,1
30,27,43000,668,0.41,2,Renter,8500,Medical,0
31,36,79000,732,0.26,8,Owner,28500,Education,1
32,41,93000,768,0.21,11,Owner,31500,Debt Consolidation,1
33,30,53000,688,0.40,4,Renter,11500,Medical,0
34,44,118000,805,0.17,14,Owner,46000,Home Improvement,1
35,32,61000,702,0.33,5,Renter,17500,Education,1
36,39,87000,758,0.24,10,Owner,30500,Debt Consolidation,1
37,26,41000,652,0.44,1,Renter,7200,Medical,0
38,34,73000,726,0.27,7,Owner,26500,Education,1
39,47,135000,825,0.13,18,Owner,65000,Home Improvement,1
40,29,45500,677,0.38,3,Renter,9200,Debt Consolidation,0
41,37,83000,742,0.25,9,Owner,29500,Medical,1
42,43,108000,792,0.19,13,Owner,39000,Debt Consolidation,1
43,31,54500,698,0.39,5,Renter,12500,Education,0
44,40,100000,778,0.22,12,Owner,37000,Home Improvement,1
45,28,46500,672,0.37,3,Renter,9300,Debt Consolidation,0
46,35,77000,730,0.28,8,Owner,27500,Medical,1
47,42,95000,774,0.20,11,Owner,33500,Education,1
48,33,64000,708,0.32,6,Renter,19500,Debt Consolidation,1
49,45,128000,818,0.15,16,Owner,49000,Home Improvement,1
50,27,42500,667,0.43,2,Renter,8300,Medical,0
51,36,80000,734,0.26,8,Owner,28000,Education,1
52,41,93500,770,0.21,11,Owner,32000,Debt Consolidation,1
53,30,52500,686,0.41,4,Renter,11200,Medical,0
54,44,120000,808,0.17,14,Owner,47000,Home Improvement,1
55,32,62000,704,0.34,5,Renter,18500,Education,1
56,39,89000,760,0.24,10,Owner,31000,Debt Consolidation,1
57,26,40500,651,0.46,1,Renter,7100,Medical,0
58,34,74000,728,0.27,7,Owner,27000,Education,1
59,47,140000,828,0.12,19,Owner,70000,Home Improvement,1
60,29,45000,676,0.39,3,Renter,9100,Debt Consolidation,0
61,37,84000,744,0.25,9,Owner,30000,Medical,1
62,43,110000,794,0.19,13,Owner,40000,Debt Consolidation,1
63,31,55000,700,0.38,5,Renter,13000,Education,0
64,40,102000,780,0.22,12,Owner,38000,Home Improvement,1
65,28,46000,671,0.38,3,Renter,9400,Debt Consolidation,0
66,35,78000,732,0.28,8,Owner,28000,Medical,1
67,42,96000,776,0.20,11,Owner,34000,Education,1
68,33,65000,710,0.33,6,Renter,20000,Debt Consolidation,1
69,45,130000,820,0.15,16,Owner,50000,Home Improvement,1
70,27,42000,665,0.44,2,Renter,8200,Medical,0
71,36,81000,736,0.26,8,Owner,29000,Education,1
72,41,94000,772,0.21,11,Owner,33000,Debt Consolidation,1
73,30,53000,687,0.40,4,Renter,11400,Medical,0
74,44,122000,810,0.17,14,Owner,48000,Home Improvement,1
75,32,63000,706,0.35,5,Renter,19000,Education,1
76,39,91000,762,0.24,10,Owner,32000,Debt Consolidation,1
77,26,40000,650,0.47,1,Renter,7000,Medical,0
78,34,75000,730,0.27,7,Owner,27500,Education,1
79,47,145000,830,0.11,20,Owner,75000,Home Improvement,1
80,29,44000,674,0.40,3,Renter,9000,Debt Consolidation,0
81,37,85000,746,0.25,9,Owner,31000,Medical,1
82,43,112000,796,0.19,13,Owner,41000,Debt Consolidation,1
83,31,56000,702,0.39,5,Renter,13500,Education,0
84,40,104000,782,0.22,12,Owner,39000,Home Improvement,1
85,28,45500,673,0.39,3,Renter,9600,Debt Consolidation,0
86,35,79000,734,0.29,8,Owner,28500,Medical,1
87,42,97000,778,0.20,11,Owner,34500,Education,1
88,33,66000,712,0.34,6,Renter,21000,Debt Consolidation,1
89,45,132000,822,0.15,17,Owner,51000,Home Improvement,1
90,27,41500,664,0.45,2,Renter,8100,Medical,0
91,36,82000,738,0.26,8,Owner,29500,Education,1
92,41,94500,774,0.21,11,Owner,33500,Debt Consolidation,1
93,30,53500,689,0.41,4,Renter,11600,Medical,0
94,44,124000,812,0.17,14,Owner,49000,Home Improvement,1
95,32,64000,708,0.36,5,Renter,19500,Education,1
96,39,92000,764,0.24,10,Owner,33000,Debt Consolidation,1
97,26,39500,649,0.48,1,Renter,6900,Medical,0
98,34,76000,732,0.28,7,Owner,28000,Education,1
99,47,150000,835,0.10,21,Owner,80000,Home Improvement,1
100,29,43500,673,0.41,3,Renter,8900,Debt Consolidation,0